
Image Name                     PID Session Name        Session#    Mem Usage
ShellExperienceHost.exe      14292 Console                    9     65,044 K
TextInputHost.exe            21376 Console                    9     46,368 K
asus_framework.exe           13808 Console                    9      1,340 K
asus_framework.exe           12936 Console                    9      5,044 K
RuntimeBroker.exe            15944 Console                    9     22,316 K
vgtray.exe                   14092 Console                    9      8,572 K
oblivion-desktop.exe         15828 Console                    9     86,404 K
oblivion-desktop.exe         16668 Console                    9    118,124 K
oblivion-desktop.exe         17240 Console                    9     39,460 K
oblivion-desktop.exe         14916 Console                    9     71,760 K
IDMan.exe                    19088 Console                    9     25,012 K
AppMarket.exe                18068 Console                    9     93,596 K
asus_framework.exe            9868 Console                    9      4,564 K
wmpf_installer.exe           12864 Console                    9     11,376 K
syzs_dl_svr.exe              16692 Console                    9      9,716 K
conhost.exe                  18624 Console                    9     12,836 K
ArmourySwAgent.exe           11724 Console                    9      1,772 K
cef_frame_render.exe         14076 Console                    9     77,152 K
cef_frame_render.exe          6736 Console                    9     23,424 K
cef_frame_render.exe          7208 Console                    9    108,848 K
RadeonSoftware.exe            1732 Console                    9     83,544 K
cncmd.exe                    10724 Console                    9      1,048 K
cmd.exe                      18700 Console                    9      1,000 K
conhost.exe                  10968 Console                    9      1,080 K
AMDRSServ.exe                 3176 Console                    9     92,416 K
amdow.exe                     6556 Console                    9      1,064 K
ApplicationFrameHost.exe     16960 Console                    9     40,240 K
warp-plus.exe                20104 Console                    9     67,432 K
conhost.exe                  18224 Console                    9     10,820 K
CalculatorApp.exe             8688 Console                    9      1,988 K
RuntimeBroker.exe            19712 Console                    9      7,328 K
SystemSettings.exe            9196 Console                    9      2,260 K
UserOOBEBroker.exe           12508 Console                    9     10,276 K
dllhost.exe                  16220 Console                    9     14,992 K
Discord.exe                   7308 Console                    9    125,884 K
Discord.exe                   2892 Console                    9     33,040 K
Discord.exe                  14856 Console                    9    137,868 K
Discord.exe                   7028 Console                    9     49,744 K
CompPkgSrv.exe                2072 Console                    9      9,064 K
Discord.exe                  17376 Console                    9    314,632 K
Discord.exe                   4740 Console                    9     78,920 K
Telegram.exe                  2412 Console                    9    688,828 K
firefox.exe                   7068 Console                    9    393,236 K
firefox.exe                  19404 Console                    9    160,832 K
firefox.exe                  20176 Console                    9     20,012 K
firefox.exe                  15536 Console                    9    482,056 K
firefox.exe                   8640 Console                    9     24,472 K
firefox.exe                   7548 Console                    9    146,376 K
firefox.exe                  18640 Console                    9     55,464 K
firefox.exe                    516 Console                    9     17,384 K
firefox.exe                  17944 Console                    9     85,988 K
firefox.exe                  16800 Console                    9     17,120 K
RuntimeBroker.exe            19416 Console                    9     24,656 K
svchost.exe                   5816 Console                    9     13,088 K
SearchApp.exe                 2032 Console                    9     64,800 K
msedgewebview2.exe           20120 Console                    9     98,944 K
msedgewebview2.exe           13528 Console                    9      7,864 K
msedgewebview2.exe           15308 Console                    9     42,020 K
msedgewebview2.exe           12088 Console                    9     28,284 K
msedgewebview2.exe             408 Console                    9     18,892 K
msedgewebview2.exe           18564 Console                    9     43,340 K
AMDRSSrcExt.exe               3376 Console                    9     96,960 K
PresentMon-x64.exe           17272 Console                    9     10,332 K
conhost.exe                   1412 Console                    9     10,904 K
PhotosApp.exe                13700 Console                    9    106,368 K
RuntimeBroker.exe             2348 Console                    9     23,244 K
PhotosService.exe            13716 Console                    9     23,800 K
Code.exe                     20760 Console                    9    129,840 K
Code.exe                      5620 Console                    9     29,648 K
Code.exe                     15680 Console                    9    131,096 K
Code.exe                     16928 Console                    9     43,928 K
Code.exe                      2012 Console                    9    280,412 K
Code.exe                     19776 Console                    9    170,840 K
Code.exe                      7756 Console                    9    114,996 K
Code.exe                     10748 Console                    9     92,604 K
Code.exe                      2700 Console                    9    145,772 K
conhost.exe                   2972 Console                    9      6,344 K
Code.exe                     16116 Console                    9    127,352 K
powershell.exe               16532 Console                    9     73,436 K
conhost.exe                  14672 Console                    9      6,328 K
python.exe                   17908 Console                    9    145,784 K
powershell.exe                8956 Console                    9     73,400 K
conhost.exe                   3528 Console                    9     11,192 K
conhost.exe                   8048 Console                    9      6,328 K
powershell.exe               21448 Console                    9     73,088 K
conhost.exe                  17336 Console                    9      6,340 K
powershell.exe               16288 Console                    9     73,188 K
conhost.exe                  12164 Console                    9      6,340 K
powershell.exe               15772 Console                    9     73,204 K
conhost.exe                  19912 Console                    9      6,388 K
powershell.exe                3000 Console                    9     73,200 K
conhost.exe                   6228 Console                    9      6,376 K
powershell.exe               14540 Console                    9     73,176 K
python.exe                    2088 Console                    9     74,348 K
conhost.exe                    268 Console                    9     11,240 K
mmc.exe                      19900 Console                    9     33,560 K
conhost.exe                  15028 Console                    9      6,564 K
powershell.exe               16404 Console                    9     76,228 K
vds.exe                      11960 Services                   0     13,252 K
svchost.exe                  14032 Services                   0     11,892 K
WmiPrvSE.exe                  7988 Services                   0     10,696 K
SearchProtocolHost.exe       14060 Services                   0     14,544 K
SearchFilterHost.exe          9488 Services                   0      9,988 K
FileCoAuth.exe               20580 Console                    9     15,632 K
python.exe                   13024 Console                    9     62,848 K
cmd.exe                      15324 Console                    9      4,396 K
tasklist.exe                  3076 Console                    9      9,348 K
